"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Adamantina";"2015";"69599";"16012";"8068";"30007";"2779";"12732";3500105
"Adamantina";"2016";"70433";"16808";"6960";"31062";"2767";"12836";3500105
"Adamantina";"2017";"72659";"18228";"7474";"31935";"2724";"12299";3500105
"Adamantina";"2018";"74776";"18478";"8108";"32848";"2901";"12441";3500105
"Adamantina";"2019";"79010";"19475";"8958";"35115";"3070";"12393";3500105
"Adolfo";"2015";"9302";"1052";"445";"3462";"2946";"1397";3500204
"Adolfo";"2016";"9998";"1017";"104";"3847";"3635";"1396";3500204
"Adolfo";"2017";"12064";"1041";"98";"4069";"5372";"1483";3500204
"Adolfo";"2018";"13436";"1071";"74";"4260";"6470";"1561";3500204
"Adolfo";"2019";"14265";"1077";"72";"4553";"6913";"1650";3500204
"Aguaí";"2015";"83023";"8443";"32009";"20669";"12021";"9882";3500303
"Aguaí";"2016";"81817";"7788";"32146";"20387";"11693";"9803";3500303
"Aguaí";"2017";"84601";"8112";"32947";"21443";"12344";"9754";3500303
"Aguaí";"2018";"86329";"7810";"33297";"21598";"14278";"9346";3500303
"Aguaí";"2019";"89156";"8384";"35605";"22067";"13589";"9510";3500303
"Águas da Prata";"2015";"15892";"2637";"1828";"5467";"1869";"4092";3500402
"Águas da Prata";"2016";"13308";"2372";"1850";"5396";"1795";"1895";3500402
"Águas da Prata";"2017";"13883";"2478";"2069";"5735";"1701";"1901";3500402
"Águas da Prata";"2018";"13629";"2282";"1929";"5786";"1717";"1915";3500402
"Águas da Prata";"2019";"14101";"2232";"2276";"5808";"1633";"2151";3500402
"Águas de Lindóia";"2015";"47394";"18662";"3468";"17327";"1516";"6422";3500501
"Águas de Lindóia";"2016";"45722";"17350";"3017";"17401";"1478";"6476";3500501
"Águas de Lindóia";"2017";"46828";"16419";"4213";"17926";"1573";"6696";3500501
"Águas de Lindóia";"2018";"47189";"16236";"4399";"18256";"1505";"6792";3500501
"Águas de Lindóia";"2019";"47548";"16636";"4114";"18203";"1487";"7108";3500501
"Águas de Santa Bárbara";"2015";"17430";"2185";"3793";"5161";"4105";"2186";3500550
"Águas de Santa Bárbara";"2016";"17046";"2262";"3143";"5287";"4297";"2058";3500550
"Águas de Santa Bárbara";"2017";"16447";"2602";"1822";"5371";"4488";"2164";3500550
"Águas de Santa Bárbara";"2018";"16471";"2756";"717";"5615";"5161";"2222";3500550
"Águas de Santa Bárbara";"2019";"17618";"3142";"706";"5918";"5476";"2376";3500550
"Águas de São Pedro";"2015";"14109";"6148";"23";"5617";"-";"2321";3500600
"Águas de São Pedro";"2016";"14508";"6014";"9";"5697";"-";"2788";3500600
"Águas de São Pedro";"2017";"15058";"6388";"8";"5753";"-";"2909";3500600
"Águas de São Pedro";"2018";"15236";"6605";"14";"5707";"0";"2911";3500600
"Águas de São Pedro";"2019";"15743";"7032";"7";"5925";"1";"2778";3500600
"Agudos";"2015";"320348";"9877";"267234";"27593";"4077";"11566";3500709
"Agudos";"2016";"319665";"9152";"267392";"27528";"3886";"11706";3500709
"Agudos";"2017";"318744";"9178";"264404";"28747";"4068";"12347";3500709
"Agudos";"2018";"323766";"9389";"268034";"29483";"4423";"12436";3500709
"Agudos";"2019";"310796";"9462";"253265";"30599";"4452";"13017";3500709
"Alambari";"2015";"8414";"897";"651";"3648";"2220";"997";3500758
"Alambari";"2016";"8914";"900";"739";"3784";"2419";"1072";3500758
"Alambari";"2017";"8859";"1043";"771";"3940";"1965";"1140";3500758
"Alambari";"2018";"9207";"1071";"806";"4040";"2050";"1239";3500758
"Alambari";"2019";"9996";"1219";"855";"4265";"2250";"1406";3500758
"Alfredo Marcondes";"2015";"7089";"643";"826";"2878";"1732";"1009";3500808
"Alfredo Marcondes";"2016";"6979";"647";"863";"2874";"1626";"970";3500808
"Alfredo Marcondes";"2017";"7585";"717";"1059";"3106";"1695";"1008";3500808
"Alfredo Marcondes";"2018";"8153";"777";"1365";"3300";"1683";"1027";3500808
"Alfredo Marcondes";"2019";"8436";"816";"1253";"3608";"1687";"1073";3500808
"Altair";"2015";"9483";"524";"12";"2072";"6216";"658";3500907
"Altair";"2016";"12598";"425";"5";"2026";"9493";"649";3500907
"Altair";"2017";"12511";"471";"5";"2103";"9262";"670";3500907
"Altair";"2018";"12843";"503";"5";"2138";"9502";"695";3500907
"Altair";"2019";"10195";"558";"3";"2213";"6693";"728";3500907
"Altinópolis";"2015";"30608";"5146";"316";"11744";"6601";"6800";3501004
"Altinópolis";"2016";"31736";"5239";"282";"11860";"7644";"6710";3501004
"Altinópolis";"2017";"32589";"5114";"300";"12425";"7617";"7134";3501004
"Altinópolis";"2018";"34080";"5074";"346";"12794";"8481";"7385";3501004
"Altinópolis";"2019";"34741";"5016";"286";"13227";"8672";"7541";3501004
"Alto Alegre";"2015";"30034";"566";"1314";"2810";"24242";"1102";3501103
"Alto Alegre";"2016";"22317";"584";"1043";"2836";"16755";"1099";3501103
"Alto Alegre";"2017";"56453";"842";"441";"2857";"51196";"1118";3501103
"Alto Alegre";"2018";"46830";"1628";"67";"2887";"41180";"1068";3501103
"Alto Alegre";"2019";"46752";"1465";"55";"2995";"41131";"1105";3501103
"Alumínio";"2015";"3669361";"7313";"3646675";"11781";"28";"3563";3501152
"Alumínio";"2016";"3970313";"6608";"3948591";"11312";"17";"3785";3501152
"Alumínio";"2017";"4138452";"6584";"4116574";"11410";"14";"3870";3501152
"Alumínio";"2018";"4643713";"5075";"4623197";"11400";"22";"4019";3501152
"Alumínio";"2019";"3732654";"5588";"3711523";"11495";"20";"4028";3501152
"Álvares Florence";"2015";"8511";"862";"801";"2175";"4033";"640";3501202
"Álvares Florence";"2016";"8613";"847";"591";"2150";"4384";"641";3501202
"Álvares Florence";"2017";"8945";"47";"441";"2260";"4597";"1601";3501202
"Álvares Florence";"2018";"9807";"730";"525";"2371";"5161";"1020";3501202
"Álvares Florence";"2019";"10426";"731";"562";"2488";"5561";"1084";3501202
"Álvares Machado";"2015";"36993";"6436";"4475";"17677";"3554";"4851";3501301
"Álvares Machado";"2016";"37346";"6551";"3781";"18757";"3580";"4677";3501301
"Álvares Machado";"2017";"39733";"7264";"3742";"20075";"3705";"4948";3501301
"Álvares Machado";"2018";"41093";"7440";"3982";"20807";"3834";"5030";3501301
"Álvares Machado";"2019";"43706";"8477";"3727";"22273";"4265";"4963";3501301
"Álvaro de Carvalho";"2015";"5699";"398";"505";"1877";"1021";"1898";3501400
"Álvaro de Carvalho";"2016";"5717";"372";"489";"1937";"956";"1962";3501400
"Álvaro de Carvalho";"2017";"5515";"351";"370";"1919";"982";"1893";3501400
"Álvaro de Carvalho";"2018";"5548";"347";"323";"1914";"1029";"1935";3501400
"Álvaro de Carvalho";"2019";"5537";"369";"210";"1947";"979";"2033";3501400
"Alvinlândia";"2015";"4144";"389";"58";"1699";"1063";"936";3501509
"Alvinlândia";"2016";"4246";"366";"57";"1688";"1188";"947";3501509
"Alvinlândia";"2017";"4235";"341";"53";"1723";"1162";"955";3501509
"Alvinlândia";"2018";"4318";"363";"53";"1795";"1134";"973";3501509
"Alvinlândia";"2019";"4386";"350";"59";"1902";"1060";"1016";3501509
"Americana";"2015";"1244227";"147169";"800540";"232664";"311";"63542";3501608
"Americana";"2016";"1160640";"140277";"726131";"232145";"275";"61811";3501608
"Americana";"2017";"1150273";"140915";"709435";"237092";"277";"62554";3501608
"Americana";"2018";"1070215";"140807";"621300";"243002";"268";"64838";3501608
"Americana";"2019";"1054679";"145680";"591481";"253948";"271";"63298";3501608
"Américo Brasiliense";"2015";"58025";"15109";"6698";"24214";"534";"11469";3501707
"Américo Brasiliense";"2016";"57356";"15020";"6821";"23797";"506";"11212";3501707
"Américo Brasiliense";"2017";"57272";"14228";"6689";"24357";"494";"11505";3501707
"Américo Brasiliense";"2018";"55194";"11332";"6958";"24935";"444";"11524";3501707
"Américo Brasiliense";"2019";"56910";"12184";"6719";"25770";"437";"11801";3501707
"Américo de Campos";"2015";"8963";"1219";"118";"4288";"1685";"1653";3501806
"Américo de Campos";"2016";"9001";"1175";"107";"4235";"1813";"1671";3501806
"Américo de Campos";"2017";"9556";"1210";"96";"4465";"1981";"1804";3501806
"Américo de Campos";"2018";"10084";"1221";"86";"4613";"2349";"1814";3501806
"Américo de Campos";"2019";"10465";"1302";"104";"4836";"2317";"1906";3501806
"Amparo";"2015";"366485";"25129";"246568";"57777";"20748";"16264";3501905
"Amparo";"2016";"371438";"24036";"252673";"57326";"20736";"16666";3501905
"Amparo";"2017";"385845";"23482";"264214";"58605";"22632";"16913";3501905
"Amparo";"2018";"393653";"23264";"271108";"59302";"22988";"16992";3501905
"Amparo";"2019";"407220";"24900";"281566";"60441";"23077";"17235";3501905
"Analândia";"2015";"9909";"895";"2078";"3648";"1716";"1572";3502002
"Analândia";"2016";"9650";"850";"1950";"3635";"1607";"1609";3502002
"Analândia";"2017";"10020";"856";"2037";"3840";"1669";"1618";3502002
"Analândia";"2018";"10482";"836";"2504";"3912";"1611";"1619";3502002
"Analândia";"2019";"10490";"821";"2378";"4119";"1545";"1626";3502002
"Andradina";"2015";"197386";"30541";"96479";"49302";"6837";"14226";3502101
"Andradina";"2016";"191126";"27636";"93789";"48690";"6697";"14313";3502101
"Andradina";"2017";"190236";"30435";"85808";"51845";"6903";"15245";3502101
"Andradina";"2018";"204817";"30294";"98751";"53940";"6894";"14937";3502101
"Andradina";"2019";"207381";"31783";"95649";"57218";"7669";"15062";3502101
"Angatuba";"2015";"142749";"34346";"75204";"12083";"17002";"4114";3502200
"Angatuba";"2016";"150948";"33415";"82778";"12109";"18584";"4062";3502200
"Angatuba";"2017";"159343";"37740";"85172";"12957";"19374";"4099";3502200
"Angatuba";"2018";"164594";"39450";"86762";"13133";"20915";"4334";3502200
"Angatuba";"2019";"160577";"29872";"89094";"13552";"23436";"4623";3502200
"Anhembi";"2015";"9819";"916";"1117";"3822";"2380";"1584";3502309
"Anhembi";"2016";"10124";"1091";"1310";"3651";"2521";"1552";3502309
"Anhembi";"2017";"10784";"1104";"1411";"3945";"2741";"1583";3502309
"Anhembi";"2018";"11323";"1042";"1693";"4164";"2730";"1693";3502309
"Anhembi";"2019";"12187";"1235";"1782";"4436";"2865";"1868";3502309
"Anhumas";"2015";"4995";"551";"103";"2290";"1270";"780";3502408
"Anhumas";"2016";"5023";"485";"115";"2278";"1359";"786";3502408
"Anhumas";"2017";"5177";"511";"72";"2559";"1223";"813";3502408
"Anhumas";"2018";"5510";"536";"87";"2705";"1303";"879";3502408
"Anhumas";"2019";"5762";"564";"98";"2873";"1270";"957";3502408
"Aparecida";"2015";"87215";"38891";"23115";"16527";"457";"8226";3502507
"Aparecida";"2016";"104365";"43210";"23584";"27898";"567";"9106";3502507
"Aparecida";"2017";"92247";"46513";"4279";"30833";"655";"9967";3502507
"Aparecida";"2018";"92094";"46680";"4141";"31234";"667";"9372";3502507
