"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"60245";"https://dadosabertos.camara.leg.br/api/v2/eventos/60245";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1956533";"2020-12-22T20:12:00";"2020-12-23T00:04:15";"Encerrada (Final)";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60243";"https://dadosabertos.camara.leg.br/api/v2/eventos/60243";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1956338";"2020-12-22T16:56:30";"2020-12-22T20:12:03";"Encerrada (Final)";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60244";"https://dadosabertos.camara.leg.br/api/v2/eventos/60244";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1955597";"2020-12-22T15:15:35";"2020-12-22T16:23:24";"Encerrada";"Reunião Técnica por Videoconferência

Tema: Atualização da Situação da Covid-19 no Brasil

Convidados:

LUIZ OTAVIO FRANCO DUARTE, Secretário de Atenção Especializada à Saúde do Ministério da Saúde;

JURANDI FRUTUOSO, Secretário-Geral do CONASS; e

MARIA DA CONCEIÇÃO DE SOUZA ROCHA, Presidente do Conselho de Secretários Municipais de Saúde do Estado do Rio de Janeiro - COSEMS-RJ.";"Reunião Técnica";"";"Anexo II, Plenário 03";"";"";""
"60222";"https://dadosabertos.camara.leg.br/api/v2/eventos/60222";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1953056";"2020-12-22T14:34:57";"2020-12-22T14:59:21";"Encerrada (Final)";"Reunião Técnica por Videconferência

Apresentação do Plano de Trabalho.";"Reunião Técnica";"";"Anexo II, Plenário 07";"";"";""
"60242";"https://dadosabertos.camara.leg.br/api/v2/eventos/60242";"";"2020-12-22T12:00:00";"";"Cancelada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60237";"https://dadosabertos.camara.leg.br/api/v2/eventos/60237";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1954811";"2020-12-22T11:53:03";"2020-12-22T13:19:37";"Encerrada";"Reunião Técnica por videoconferência

Tema: O Programa Nacional de Imunização Contra a COVID19

Convidados:

ARNALDO CORREIA DE MEDEIROS, Secretário de Vigilância em Saúde do Ministério da Saúde - SVS;


FRANCIELI FONTANA SUTILE TAERDETTI FANTINATO, Coordenadora-Geral do Programa Nacional de Imunizações da Secretaria de Vigilância em Saúde do Ministério da Saúde;

NÍSIA TRINDADE LIMA, Presidente da Fundação Oswaldo Cruz - FIOCRUZ.";"Reunião Técnica";"";"Anexo II, Plenário 03";"";"";""
"60241";"https://dadosabertos.camara.leg.br/api/v2/eventos/60241";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1955900";"2020-12-22T11:18:26";"2020-12-22T16:55:13";"Encerrada (Final)";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60240";"https://dadosabertos.camara.leg.br/api/v2/eventos/60240";"";"2020-12-22T10:20:00";"2020-12-22T11:18:00";"Encerrada";"Breves Comunicados";"Outro Evento";"";"Plenário da Câmara dos Deputados";"";"";""
"60236";"https://dadosabertos.camara.leg.br/api/v2/eventos/60236";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1954810";"2020-12-22T09:30:00";"";"Cancelada";"Reunião Técnica por videoconferência

Tema: A Vacina da Pfizer e seu Uso no Combate à COVID19 no Brasil

Convidados

ÉLCIO FRANCO, Secretário Executivo do Ministério da Saúde;

HÉLIO ANGOTTI NETO, Secretário de Ciência, Tecnologia, Inovação e Insumos Estratégicos;e MAX NÓBREGA DE MENEZES COSTA, Diretor do DECIT Substituto;

MARIA FERNANDA THEES, Especialista em Regulação e Vigilância Sanitária na ANVISA.";"Reunião Técnica";"";"Anexo II, Plenário 03";"";"";""
"60239";"https://dadosabertos.camara.leg.br/api/v2/eventos/60239";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1955415";"2020-12-21T19:47:40";"2020-12-21T23:16:19";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60234";"https://dadosabertos.camara.leg.br/api/v2/eventos/60234";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1954735";"2020-12-21T15:36:00";"2020-12-21T16:36:00";"Encerrada";"Visita da Comissão ao Dr. Newton Teixeira, 3º Vice-Presidente do TJMG";"Visita Técnica";"Sala Virtual do Tribunal de Justiça MG";"";"";"";""
"60233";"https://dadosabertos.camara.leg.br/api/v2/eventos/60233";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1955276";"2020-12-21T15:06:19";"2020-12-21T19:43:27";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
